Country,Week,Year,Confirmed,Deaths,Recovered,Detected_FluCases,Quarter
Austria,1,2016,0.0,0.0,0.0,38,1
Azerbaijan,1,2016,0.0,0.0,0.0,9,1
Belarus,1,2016,0.0,0.0,0.0,5,1
Bulgaria,1,2016,0.0,0.0,0.0,3,1
Croatia,1,2016,0.0,0.0,0.0,7,1
Czechia,1,2016,0.0,0.0,0.0,1,1
Denmark,1,2016,0.0,0.0,0.0,30,1
Estonia,1,2016,0.0,0.0,0.0,6,1
Finland,1,2016,0.0,0.0,0.0,5,1
France,1,2016,0.0,0.0,0.0,75,1
Georgia,1,2016,0.0,0.0,0.0,1,1
Germany,1,2016,0.0,0.0,0.0,3,1
Greece,1,2016,0.0,0.0,0.0,50,1
Iceland,1,2016,0.0,0.0,0.0,4,1
Ireland,1,2016,0.0,0.0,0.0,60,1
Israel,1,2016,0.0,0.0,0.0,48,1
Italy,1,2016,0.0,0.0,0.0,8,1
Kazakhstan,1,2016,0.0,0.0,0.0,52,1
Latvia,1,2016,0.0,0.0,0.0,16,1
Luxembourg,1,2016,0.0,0.0,0.0,1,1
Macedonia,1,2016,0.0,0.0,0.0,0,1
Malta,1,2016,0.0,0.0,0.0,24,1
Moldova,1,2016,0.0,0.0,0.0,0,1
Netherlands,1,2016,0.0,0.0,0.0,50,1
Norway,1,2016,0.0,0.0,0.0,356,1
Poland,1,2016,0.0,0.0,0.0,1,1
Portugal,1,2016,0.0,0.0,0.0,81,1
Romania,1,2016,0.0,0.0,0.0,2,1
Russia,1,2016,0.0,0.0,0.0,174,1
Serbia,1,2016,0.0,0.0,0.0,3,1
Slovenia,1,2016,0.0,0.0,0.0,88,1
Spain,1,2016,0.0,0.0,0.0,58,1
Sweden,1,2016,0.0,0.0,0.0,276,1
Switzerland,1,2016,0.0,0.0,0.0,73,1
Turkey,1,2016,0.0,0.0,0.0,591,1
Ukraine,1,2016,0.0,0.0,0.0,95,1
United Kingdom,1,2016,0.0,0.0,0.0,217,1
United Kingdom,1,2016,0.0,0.0,0.0,38,1
United Kingdom,1,2016,0.0,0.0,0.0,121,1
United Kingdom,1,2016,0.0,0.0,0.0,14,1
Uzbekistan,1,2016,0.0,0.0,0.0,0,1
Austria,1,2017,0.0,0.0,0.0,205,1
Azerbaijan,1,2017,0.0,0.0,0.0,0,1
Belarus,1,2017,0.0,0.0,0.0,36,1
Belgium,1,2017,0.0,0.0,0.0,1,1
Bulgaria,1,2017,0.0,0.0,0.0,45,1
Croatia,1,2017,0.0,0.0,0.0,166,1
Cyprus,1,2017,0.0,0.0,0.0,14,1
Czechia,1,2017,0.0,0.0,0.0,35,1
Denmark,1,2017,0.0,0.0,0.0,221,1
