Season,Region,Country,Week,Surveillance System Type,A not subtyped,A(H1)pdm09,A(H3),B lineage not determined,B/Vic,B/Yam
2015/2016,EU/EEA,Austria,2015-W40,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W44,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W46,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W47,Non-sentinel,0,3,2,0,0,0
2015/2016,EU/EEA,Austria,2015-W48,Non-sentinel,0,2,4,0,0,0
2015/2016,EU/EEA,Austria,2015-W49,Non-sentinel,0,0,6,0,0,0
2015/2016,EU/EEA,Austria,2015-W50,Non-sentinel,0,3,2,0,0,0
2015/2016,EU/EEA,Austria,2015-W51,Non-sentinel,2,2,9,0,0,0
2015/2016,EU/EEA,Austria,2015-W52,Non-sentinel,0,3,5,3,0,0
2015/2016,EU/EEA,Austria,2015-W53,Non-sentinel,2,7,7,3,0,0
2015/2016,EU/EEA,Austria,2016-W01,Non-sentinel,16,12,4,6,0,0
2015/2016,EU/EEA,Austria,2016-W02,Non-sentinel,21,9,4,13,0,0
2015/2016,EU/EEA,Austria,2016-W03,Non-sentinel,32,10,4,18,0,0
2015/2016,EU/EEA,Austria,2016-W04,Non-sentinel,41,20,3,77,0,0
2015/2016,EU/EEA,Austria,2016-W05,Non-sentinel,14,20,3,86,0,0
2015/2016,EU/EEA,Austria,2016-W06,Non-sentinel,49,27,4,94,0,0
2015/2016,EU/EEA,Austria,2016-W07,Non-sentinel,49,21,5,93,0,0
2015/2016,EU/EEA,Austria,2016-W08,Non-sentinel,48,16,7,90,0,0
2015/2016,EU/EEA,Austria,2016-W09,Non-sentinel,33,18,6,105,0,0
2015/2016,EU/EEA,Austria,2016-W10,Non-sentinel,26,11,3,106,0,0
2015/2016,EU/EEA,Austria,2016-W11,Non-sentinel,16,7,3,73,0,0
2015/2016,EU/EEA,Austria,2016-W12,Non-sentinel,18,16,0,66,0,0
2015/2016,EU/EEA,Austria,2016-W13,Non-sentinel,12,0,1,46,0,0
2015/2016,EU/EEA,Austria,2016-W14,Non-sentinel,7,3,0,26,0,0
2015/2016,EU/EEA,Bulgaria,2015-W51,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W01,Non-sentinel,0,2,0,0,1,0
2015/2016,EU/EEA,Bulgaria,2016-W02,Non-sentinel,0,4,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W03,Non-sentinel,0,11,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W04,Non-sentinel,0,12,2,0,2,0
